"Tipo","Preco","Area","Quartos","Banheiros","Endereco","Estado","Cidade","lat","long"
"AP",2750,147,3,2,"Centro, Tramandaí - RS, Brazil","RS","Tramandaí",-29.9853243,-50.1356799
"AP",3500,57,2,2,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP, Brazil","SP","São Paulo",-23.5572167,-46.6406195
"AP",1600,52,1,1,"Rua Bueno de Andrade, 674 - Aclimação, São Paulo - SP, Brazil","SP","São Paulo",-23.5634338,-46.6315739
"AP",600,50,1,1,"Rua Romeu Engracia de Faria - Nova Aliança, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",-21.2189413,-47.8220033
"AP",2200,64,3,2,"Rua Hipódromo, 1495 - Móoca, São Paulo - SP, Brazil","SP","São Paulo",NA,NA
"AP",2100,57,2,2,"Rua das Pitangueiras - Jardim, Santo André - SP, Brazil","SP","Santo André",-23.6498144,-46.5405707
"AP",750,70,2,1,"Panazzolo, Caxias do Sul - RS, Brazil","RS","Caxias do Sul",-29.1807013,-51.1764772
"AP",850,38,2,1,"Jardim Piza, Londrina - PR, Brazil","PR","Londrina",-23.3592518,-51.13997
"AP",1200,65,2,1,"Santa Mônica, Uberlândia - MG, Brazil","MG","Uberlândia",-18.9090701,-48.2355051167523
"AP",1400,74,2,2,"Vila Ana Maria, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",-20.2439761,-47.4724542
"AP",3300,124,3,3,"Centro, Taubaté - SP, Brazil","SP","Taubaté",-22.9281753,-45.4612141
"AP",4000,110,2,2,"Avenida Universitário, 585 - Alphaville, Santana de Parnaíba - SP, Brazil","SP","Santana de Parnaíba",NA,NA
"AP",850,45,1,1,"Rua Vicente Ferreira Leite, 361 - Vila Siqueira, São Paulo - SP, Brazil","SP","São Paulo",NA,NA
"AP",1100,63,1,1,"Rua Isolethe Augusta Sousa Aranha, 140 - Centro, Campinas - SP, Brazil","SP","Campinas",NA,NA
"AP",2600,52,1,1,"Rua Álvaro Luís Roberto de Assumpção, 43 - Brooklin, São Paulo - SP, Brazil","SP","São Paulo",NA,NA
"AP",4800,68,2,2,"Rua Professor José Leite e Oiticica - Brooklin, São Paulo - SP, Brazil","SP","São Paulo",-23.6202418,-46.698311
"AP",750,56,2,1,"Rua Marau, 338 - Vera Cruz, Passo Fundo - RS, Brazil","RS","Passo Fundo",-28.2433145,-52.4417965
"AP",1300,110,3,2,"Rua Gonzaga de Campos, 222 - Todos os Santos, Rio de Janeiro - RJ, Brazil","RJ","Rio de Janeiro",-22.8887526,-43.2874722
"AP",1500,46,1,1,"Rua Capitão Emídio - São Dimas, Piracicaba - SP, Brazil","SP","Piracicaba",-22.7138271,-47.641748
